书名,作者,介绍,更新时间
十四亿国民的王国继承人,刘遇, 夏明宇意外从蓝星穿越到了类似奇幻中世纪，但人人头顶都有着一行身份标签的异世界。平民标签者：为几块黑面包，一栋狭小的房子奋斗终生，整日劳累却惶恐难安。贵族标签者：生来拥有财富，俊美容貌以及撕碎律法的力量，只需尽情享受人生。国王标签者：我不吃牛肉。当惯了牛马的夏明宇，本以为自己穿越了也要继续当牛马时，却发现身旁已经跪满了人，原来他头顶的标签居然是——十四亿国民的王国继承人！夏明宇：“？？？”不是，我哪来的那么大王国？等等，某种意义上来讲，穿越前人人都是接班人...数年后，在开国仪式上，面对着下方无数殷切期盼的国民，第一任也是最后一任国王夏明宇开口道：“我有一个梦想，这片国土上此后不会再有农奴，妓女，奴隶等一切被压迫的人民。”“我有一个梦想，在昔日奴隶之都的遗址上，昔日奴隶的孩子能与昔日贵族的孩子席地而坐，亲如手足、”“我有一个梦想，我的国家里，不会再有人依靠头顶的标签来辨别一个人的高贵，而是依靠品格与道德的优劣。”....“诸位国民，虽前路艰难，更有重重诱惑，但请借予我力量，与我一同实现这些梦想吧！”（注：主角会把制造娼妓的人送上断头台） ,2025-03-09 23:58
都重生了谁考公务员啊,柳岸花又明, 省直公务员陈着意外重生自己高三的那一年。于是，一个木讷腼腆、和女生说话都会脸红、只知道学习的高中生；突然变得通晓人情世故，说话做事总是恰到好处，不仅改变了人生轨迹，也越来越吸引女孩子的关注。女生：陈着你有什么优点？陈着：人老实，话不多。发小：我觉得骗人是不对的，你现在一点都不老实。陈着：没骗！人老，实话不多。（首先声明，绝对不是作者真实经历） ,2025-03-10 02:56
天才俱乐部,城城与蝉, 【十万均订作品，荣获第35届科幻银河奖】“从出生开始，我每天都会做一个同样的梦，梦里不断重复着同样的一天。”“你在梦里都做了什么？”“抢银行、炸大楼、泡妹子、侠盗飞车……反正是梦里，自然做了很多无法无天的事。”“说说你昨晚做了什么吧。”“昨天就比较有意思了。我做梦这么久，还是第一次梦见现实中认识的人。那是一个很漂亮的女孩……”“嗯嗯。”警察蜀黍一边记笔录一边点点头：“你继续说，我在听。” ,2024-12-04 13:11
白手起家，蝙蝠侠干碎我的致富梦,火星咖啡, 一般来说，如果非要穿越到美漫里，那么我希望尽量避免DC那种黑暗色调的世界如果一定要穿越到DC，那么起码不要让我穿越到那几个高危城市，比如民风淳朴的哥谭如果一定要让我穿越到哥谭——求求给个系统吧，孩子还想活下去”白手起家系统已加载，请您努力赚钱，勤劳致富。所谓钱可通神，在身无分文之前，您永远有继续的机会。“长出了口气的马昭迪摩拳擦掌，好歹在这危险重重的世界有了个外挂。一个月后。漆黑的蝙蝠展翼飞翔在夜空中，凶狠地扑咬而下，以餐馆作为伪装据点的成员在几秒之内骨断筋折。马昭迪目瞪口呆地看着自己刚刚入职一个月的餐厅，随着自己明天即将到手的工资一起随风远去。我老板呢？我工作呢？我一个月的工资呢？蝙蝠侠，我上早八！ ,2025-03-09 20:19
书名,作者,介绍,更新时间
牧神记,宅猪, 大墟的祖训说，天黑，别出门。大墟残老村的老弱病残们从江边捡到了一个婴儿，取名秦牧，含辛茹苦将他养大。这一天夜幕降临，黑暗笼罩大墟，秦牧走出了家门……做个春风中荡漾的反派吧！瞎子对他说。秦牧的反派之路，正在崛起！书友群：600290060，624672265，VIP群：663057414（有验证）普通群：424940671 ,2022-11-23 16:29
吞噬星空2起源大陆,我吃西红柿, 这是番茄的第12本小说。也是《吞噬星空》后续的第二部小说。**罗峰带着界兽摩罗撒闯过轮回，来到了起源大陆…… ,2025-03-09 11:56
神秘复苏,佛前献花, “我叫杨间，当你看到这句话的时候我已经死了......”一张诡异的羊皮卷，一只窥视黑暗的眼睛，这是一个活下来的人经历的故事。—————— ,2025-01-05 19:31
哥布林重度依赖,絮理, “兄弟，我们当冒险者是为了什么？”“一只哥布林的赏金是三枚银币。”“不，你误会我了伙计，我的意思是咱们干这一行的终极目标，一天到晚辛辛苦苦，到底有什么意义？”“一只哥布林，三枚银币。”“……”“三银币。”“好吧，这里有一个清理哥布林巢穴的任务，你……”“冲！”======要素：【底边冒险者】、【大杂烩世界观】、【伪DND】 ,2025-03-09 23:46
我的忍术不对劲,我不是驴子, “分身术是把身体分开，变身术把身体变成真实的其他东西，那么替身术……”林克怔了怔，看着眼前全身蓝紫色的高大壮硕人形，喃喃道：“何时来的，白金之星？”一个穿越过后没有系统、没有血脉、甚至还穿晚了一点点的木叶村忍者遗孤，在学会释放忍术后突然发现，自己的忍术好像都有那么亿点点不对劲。 ,2025-03-09 23:58
