岗位,薪资,岗位要求,工作地址
高级数据分析师,11k-20k,"
（1）统计学、市场营销等相关专业，本科及其以上学历
（2）熟悉常用的数据分析及挖掘方法
（3）熟练使用HIVE SQL、Excel，了解Python、R、SAS等数据分析工具 （其一即可）。
（4）较强的数据敏感度、逻辑分析能力及业务理解能力。
（5）有责任心，良好的沟通能力和团队合作精神
（6）具有银行、市场营销等从业经验优先",  深圳 - 福田区 - 金田路中洲大厦2601-2603                 
高级数据分析师,15k-25k,"能与我们一起联手打造一个高可用、可伸缩的全新财税系统，去承载锐思科集团更多的战略！

将要做的事
1、负责日常数据整理、统计处理、报表的维护，根据业务需要定期完成日报、周报、月报等各类报表；
2、相关业务数据细化分析，针对各项不定期业务需求，能够独立完成专题统计分析；
3、及时发现和反馈业务系统中出现的问题，并协助相关人员进行解决；
4、持续完善各项业务数据的统计模型，对系统化数据报表提出合理优化建议。

我们希望你
1、全日制本科及以上学历（统计、数学专业优先）；
2、有3年以上的数据分析经验，有大数据平台经验者优先考虑；
3、熟悉基本数据处理、分析流程，熟练使用SQL、Hive，了解BI报表开发最佳；
4、熟练使用SPSS，R，Python中的任一数据分析工具；
5、具备良好的逻辑思维能力、快速学习能力、团队合作的能力和跨部门沟通能力；
6、为人正直，积极主动，能够独当一面。

与我们有共同的基因1. 喜欢数据，乐于尝试新技术，能不断拓展个人数据分析技能；2. 踏实而有毅力，有长期坚持的兴趣或习惯，比如锻炼、阅读、写作等；3. 勤奋而善于思考，愿意不断挑战和提升自己，公司业务发展很快，我们不希望你掉队；4. 乐于分享，将自己学到的新方法和同事，同行分享者优先；",  重庆 - 渝北区 - 鸳鸯 - 赛迪路金山商业中心A座23F                 
数据分析师,10k-20k,"1.数学、统计、计量经济学等相关专业本科以上学历，2年以上金融行业数据分析经验；
2.主导过数据可视化分析工作，撰写数据分析报告并输出结论，具备独立领导项目开展的能力及经验；
3.精通SAS\R\Python，能熟练运用SQL/Hive获取分析所需数据；
4.具有良好的沟通协调及团队合作能力，具备严谨的逻辑思维能力，能够清晰表达数据分析成果。",  广州 - 天河区 - 沙河 - 珠江西路10号高德置地夏广场                 
数据分析师,20k-40k,"
1、数学、统计学、计算机相关专业优先，对数据分析有强烈兴趣者优先；
2、有IT大数据分析经验，有大型互联网公司数据分析经验、互联网数据建模分析经验者优先；
3、有一线产品或运营业务优化经验者优先；
4、精通 SQL，熟练使用 R/Python 进行数据清洗、分析；
5、能快速理解业务，发掘业务细节和数据之间的联系；
6、掌握 Tableau 等 BI 工具尤佳。",  北京 - 海淀区 - 中关村南四街18号紫金数码园四号楼                 
数据分析师,25k-50k,"
1. 本科及以上学历，数学、统计学、计算机相关专业优先，对数据分析有强烈兴趣者优先；
2. 有IT大数据分析经验，有大型互联网公司数据分析经验、互联网数据建模分析经验者优先；
3. 有一线产品或运营业务优化经验者优先；
4. 精通 SQL，熟练使用 R/Python 进行数据清洗、分析；
5. 能快速理解业务，发掘业务细节和数据之间的联系；
6. 掌握 Tableau 等 BI 工具尤佳。",  成都 - 高新区 - 天府四街158号OCG国际中心A座16层                 
数据分析师,9k-13k,"1、本科及以上学历；
2、对Office工具精通，EXCEL、PPT能熟练运用，熟练使用MySQL、Hive等数据库工具的优先考虑；
3、对数据敏感，有较好的逻辑思维能力，能独立编写数据分析报告；
4、工作严谨、责任心强，能承受工作压力；
5、具备一年以上电信运营商、银行、互联网企业大型呼叫中心从事数据分析的工作经验",  重庆 - 渝北区 - 冉家坝 - 腾讯大厦EF栋                 
数据分析师,15k-30k,"
1、数学、统计学、计算机相关专业优先，对数据分析有强烈兴趣者优先；
2、有IT大数据分析经验，有大型互联网公司数据分析经验、互联网数据建模分析经验者优先；
3、有一线产品或运营业务优化经验者优先；
4、精通 SQL，熟练使用 R/Python 进行数据清洗、分析；
5、能快速理解业务，发掘业务细节和数据之间的联系；
6、掌握 Tableau 等 BI 工具尤佳。",  北京 - 海淀区 - 北三环西路43号中航广场1号楼（矮楼）                 
高级/资深数据分析师,25k-50k,"1.本科以上学历，经济学、统计学、计算机等和数据处理高度相关专业，3年及以上互联网公司数据分析工作经验；
2.具备杰出的定量分析能力，在推动业务/产品运营优化方面拥有丰富的经验；
3.具有优秀的商业敏感度和突出的分析能力，能够灵活利用数据，设计分析方案解决复杂的商业问题；
4.擅长与内部及外部合作团队交流沟通，具有优秀的报告讲解及沟通能力，能够独立的分析和解决问题；
5.有数据建模实践经验（2年以上相关工作经验）者优先，熟悉Hive，熟练使用SQL等数据库查询语言；
6.具有较强结构化思维、逻辑思维能力，对数据敏感，具备优秀的信息整合和分析能力，能够形成清晰的业务观点和前瞻判断；
7.熟悉易观方舟或其他数据分析产品者优先。",  北京 - 朝阳区 - 恒通商务园                 
数据分析师,15k-30k,"
1、重点大学本科研究生以上学历，统计、数学、运筹、计算机、营销、经济等相关专业；
2、三年以上互联网策略分析、数据分析相关经验；对数据高度敏感，有海量的数据处理、分析经验；
3、有优秀的业务、用户视角，逻辑思维、问题分析、战略思考能力出色，能在模糊的条件下快速寻找解决方案；
4、具有较强的沟通、协作能力，自驱、担当力高，能推动相关部门配合行动；
5、熟练使用EXCEL和PPT，分析、陈述能力出色；至少会一种统计软件（如SPSS、SAS）；能使用SQL、Python工作将是加分项，能用Python实现MapReduce尤佳。",  北京 - 丰台区 - 科技园区 - 丰台科技园诺德中心二期11号楼38层                 
数据分析师,15k-30k,"
1、重点大学本科研究生以上学历，统计、数学、运筹、计算机、营销、经济等相关专业；
2、三年以上互联网策略分析、数据分析相关经验；对数据高度敏感，有海量的数据处理、分析经验；
3、有优秀的业务、用户视角，逻辑思维、问题分析、战略思考能力出色，能在模糊的条件下快速寻找解决方案；
4、具有较强的沟通、协作能力，自驱、担当力高，能推动相关部门配合行动；
5、熟练使用EXCEL和PPT，分析、陈述能力出色；至少会一种统计软件（如SPSS、SAS）；能使用SQL、Python工作将是加分项，能用Python实现MapReduce尤佳。",  北京 - 丰台区 - 科技园区 - 丰台科技园诺德中心二期11号楼38层                 
高级数据分析师,12k-18k,"
1、大专及以上学历，熟悉互联网知识，有2-3年以上、网站推广运营、电子商务工作经验；
2、3年以上互联网用户分析经验；精通sql，有hadoop,spark平台分析经验优先；
3、优秀的数据思维和强烈的数据决策意识，良好的数据敏感度，能从海量数据中提炼核心结果，善于用简单语言表述复杂结论；
4、有团队合作精神，能承担较大工作压力，能够在复杂环境下协调各项资源，顺利完成目标。",  广州 - 白云区 - 同德 - 聚源街50号欣凯科创园3号楼2楼                 
数据分析师,20k-25k,"
1、本科及以上学历，数学、统计类专业优先，2年以上数据分析相关工作经验；
2、熟悉数据统计过程，熟练使用SQL等语言及工具进行数据处理；
3、有独立的专题分析能力；
4、熟悉shell、python脚本优先；
5、了解hadoop、hive、分布式仓库者优先；
6、热爱互联网行业，性格nice，有较强的沟通能力和逻辑思维。",  深圳 - 南山区 - 后海地铁站J出口航天科技广场A座19-21楼                 
数据分析师,15k-30k,"1. 本科以上学历，1年以上游戏或互联网数据分析经验；数理逻辑清晰，数据敏感度高；数学专业、统计学专业优先；
2. 熟悉游戏业务指标使用方法及场景，能够独立完成游戏业务分析；
3. 熟练使用SQL语句、EXCEL；掌握SPSS、R、SAS等其中一种分析工具；
4. 具有一定的数据挖掘、建模、预测能力；可独立对游戏进行深入挖掘
5. 良好的沟通能力、文档表达能力、部门协作能力；
6. 出色的学习能力，能够快速融入业务；能够根据业务需求不断提升自己；
7. 有独立完成游戏产品数据分析工作者优先。",  北京 - 朝阳区 - 奥运村 - 北苑路甲13号院北辰新纪元大厦23层2305                 
