日期,城市,空气指标,PM25
15日,抚顺市,59,42
16日,抚顺市,76,34
09日,抚顺市,78,57
17日,抚顺市,77,49
18日,抚顺市,54,32
19日,抚顺市,47,32
20日,抚顺市,67,29
21日,抚顺市,72,32
22日,抚顺市,48,14
09日,本溪市,70,51
10日,本溪市,77,39
11日,本溪市,76,26
12日,本溪市,72,17
13日,本溪市,30,18
14日,本溪市,44,16
15日,本溪市,57,39
16日,本溪市,74,32
17日,本溪市,76,49
18日,本溪市,52,36
19日,本溪市,48,31
20日,本溪市,67,20
21日,本溪市,72,16
22日,本溪市,46,23
17日,丹东市,69,37
18日,丹东市,55,27
19日,丹东市,46,14
20日,丹东市,60,19
21日,丹东市,66,20
22日,丹东市,49,11
09日,丹东市,58,41
10日,丹东市,57,32
11日,丹东市,75,34
12日,丹东市,67,22
13日,丹东市,39,10
14日,丹东市,42,10
15日,丹东市,51,29
16日,丹东市,62,34
10日,锦州市,86,59
11日,锦州市,72,34
17日,锦州市,79,58
18日,锦州市,46,11
19日,锦州市,49,27
20日,锦州市,68,46
21日,锦州市,60,32
22日,锦州市,52,18
09日,锦州市,60,20
12日,锦州市,56,19
13日,锦州市,39,7
14日,锦州市,45,15
15日,锦州市,55,39
16日,锦州市,89,47
09日,营口市,54,33
17日,营口市,82,60
18日,营口市,47,18
19日,营口市,54,38
20日,营口市,76,29
21日,营口市,75,24
22日,营口市,55,15
10日,营口市,95,42
11日,营口市,77,24
12日,营口市,65,18
13日,营口市,41,9
14日,营口市,40,17
15日,营口市,56,24
16日,营口市,81,30
10日,阜新市,75,45
11日,阜新市,83,35
12日,阜新市,45,14
13日,阜新市,40,5
14日,阜新市,42,12
15日,阜新市,47,30
09日,阜新市,63,29
17日,阜新市,68,46
18日,阜新市,49,7
19日,阜新市,65,16
20日,阜新市,84,29
21日,阜新市,55,20
22日,阜新市,54,8
16日,阜新市,87,48
10日,辽阳市,92,40
11日,辽阳市,79,21
12日,辽阳市,74,14
13日,辽阳市,37,15
14日,辽阳市,42,16
15日,辽阳市,62,44
16日,辽阳市,84,24
17日,辽阳市,79,38
18日,辽阳市,50,32
19日,辽阳市,49,34
20日,辽阳市,65,22
21日,辽阳市,72,28
22日,辽阳市,52,21
09日,辽阳市,74,54
17日,盘锦市,82,60
18日,盘锦市,50,11
19日,盘锦市,50,27
20日,盘锦市,72,28
21日,盘锦市,71,24
22日,盘锦市,55,14
09日,盘锦市,63,32
10日,盘锦市,88,38
11日,盘锦市,79,27
12日,盘锦市,47,19
13日,盘锦市,38,9
14日,盘锦市,39,15
15日,盘锦市,49,24
16日,盘锦市,86,43
09日,铁岭市,79,58
17日,铁岭市,75,50
18日,铁岭市,47,23
19日,铁岭市,49,31
20日,铁岭市,67,31
21日,铁岭市,65,47
22日,铁岭市,49,12
10日,铁岭市,86,54
